UserAccountId,CertificateDegree,Major,University
UA001607,Doctor,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","Darul Hikmah Islamic College"
UA001608,Doctor,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","Shimonoseki City University"
UA001609,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Institut National des Sciences Appliquées de Lyon"
UA001610,Master,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","California Institute of Integral Studies"
UA001611,Master,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","Mariano Marcos State University"
UA001612,Bachelor,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","Punjab Agricultural University"
UA001613,Bachelor,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","Polish Open University in Warsaw (WSZ/POU)"
UA001614,Doctor,"ECONOMICS TEACHERS, POSTSECONDARY","Simon's Rock College"
UA001615,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Mustafa International University"
UA001616,Bachelor,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","Universidad Abierta Para Adultos"
UA001617,Master,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","Kamakura Women's College"
UA001618,Master,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","Tokyo University of Pharmacy and Life Science"
UA001619,Master,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","Hochschule Wismar, Fachhochschule für Technik, Wirtschaft und Gestaltung"
UA001620,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Universiti Malaysia Kelantan"
UA001621,Doctor,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","Olive-Harvey College"
UA001622,Bachelor,"COMPUTER PROGRAMMERS","Omsk State Medicical Academy"
UA001623,Bachelor,"MECHANICAL ENGINEERS","Arak University of Medical Sciences"
UA001624,Master,"MECHANICAL ENGINEERS","Merkur Internationale FH Karlsruhe"
UA001625,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Universidade Lusíada de Angola"
UA001626,Bachelor,"COMPUTER PROGRAMMERS","Indiana University - Northwest"
UA001627,Bachelor,"COMPUTER PROGRAMMERS","Daido Institute of Technology"
UA001628,Doctor,"ENVIRONMENTAL ENGINEERS","Kebbi State University of Science and Technology"
UA001629,Bachelor,"COMPUTER SYSTEMS ANALYSTS","South University of Science and Technology of China "
UA001630,Bachelor,"COMPUTER PROGRAMMERS","Wolaita Sodo University"
UA001631,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Tashkent State Technical University"
UA001632,Bachelor,"OPERATIONS RESEARCH ANALYSTS","Sumy State University"
UA001633,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Inner Mongolia Polytechnic University"
UA001634,Master,"COMPUTER PROGRAMMERS","Stamford International University"
UA001635,Doctor,"COMPUTER PROGRAMMERS","SRH University of Applied Sciences"
UA001636,Doctor,"MECHANICAL ENGINEERS","Universidad Nacional Experimental "Simón Rodriguez" "
UA001637,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Hamadan University of Medical Sciences"
UA001638,Master,"COMPUTER PROGRAMMERS","Georg-Simon-Ohm-Fachhochschule Nürnberg"
UA001639,Master,"COMPUTER PROGRAMMERS","London Guildhall University"
UA001640,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Afyon Kocatepe University"
UA001641,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","University of North Carolina at Asheville"
UA001642,Doctor,"COMPUTER OCCUPATIONS, ALL OTHER","Clarion University"
UA001643,Bachelor,"COMPUTER PROGRAMMERS","Shaheed Rajaei Teacher Training University"
UA001644,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","University of Baghdad"
UA001645,Master,"MEDICAL AND CLINICAL LABORATORY TECHNOLOGISTS","Kennesaw State University"
UA001646,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Universidad de Castilla La Mancha"
UA001647,Master,STATISTICIANS,"Cheljabinsk State Institute of Teacher Training"
UA001648,Doctor,"OPERATIONS RESEARCH ANALYSTS","Universidad Nacional Jorge Basadre Grohmann"
UA001649,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Baikal National University of Economics and Law"
UA001650,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","National Kaohsiung University of Applied Sciences"
UA001651,Bachelor,STATISTICIANS,"Kandahar University"
UA001652,Master,"COMPUTER PROGRAMMERS","University of Bergamo"
UA001653,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Lincoln University"
UA001654,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Universitas Diponegoro"
UA001655,Bachelor,"BIOCHEMISTS AND BIOPHYSICISTS","Massachusetts College of Liberal Arts"
UA001656,Doctor,"HEALTH SPECIALTIES TEACHERS, POSTSECONDARY","Al-Bukhari International University"
UA001657,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Yarmouk University"
UA001658,Bachelor,"MATERIALS SCIENTISTS","University of Alabama - Tuscaloosa"
UA001659,Master,"COMPUTER PROGRAMMERS","Université d'Antananarivo"
UA001660,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Kwara State Polytecnic"
UA001661,Master,"BIOLOGICAL SCIENTISTS, ALL OTHER","Shanghai Ocean University"
UA001662,Master,"COMPUTER OCCUPATIONS, ALL OTHER","University College Dublin"
UA001663,Doctor,"GENERAL AND OPERATIONS MANAGERS","Alaska Pacific University"
UA001664,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Jawaharlal Nehru University"
UA001665,Bachelor,"FINANCIAL ANALYSTS","University of New Caledonia"
UA001666,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Université de Yaoundé II"
UA001667,Master,ACTUARIES,"Southwest Agricultural University"
UA001668,Bachelor,"COMPUTER SYSTEMS ANALYSTS","University of Canberra"
UA001669,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Kunsthochschule Berlin-Weissensee, Hochschule für Gestaltung "
UA001670,Master,"NATURAL SCIENCES MANAGERS","Ferghana Politechnical Institute"
UA001671,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Higher Institute of Agriculture and Animal Husbandry"
UA001672,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Université Mohammed V - Souissi"
UA001673,Doctor,"FINANCIAL SPECIALISTS, ALL OTHER","Western New Mexico University"
UA001674,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Divine Word College of Legazpi"
UA001675,Bachelor,"COMPLIANCE OFFICERS","Universidad Motolinía del Pedregal"
UA001676,Master,"MATERIALS ENGINEERS","Kateb Institute of Higher Education"
UA001677,Master,"FINANCIAL ANALYSTS","Eiilm University"
UA001678,Bachelor,"COMPUTER SYSTEMS ANALYSTS","University of Abuja"
UA001679,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Saratov State Medical University"
UA001680,Doctor,"COMPUTER OCCUPATIONS, ALL OTHER","Austin Peay State University"
UA001681,Bachelor,STATISTICIANS,"Ambassador University"
UA001682,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Iceland University of Education"
UA001683,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Zagreb School of Economics and Management"
UA001684,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Rak Medical & Health Sciences University"
UA001685,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Northwestern College of Chiropractic"
UA001686,Master,"COMPUTER SYSTEMS ANALYSTS","Osmania University"
UA001687,Doctor,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE","Istanbul University"
UA001688,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Horizon College of Business and Technology"
UA001689,Bachelor,"ACCOUNTANTS AND AUDITORS","Worcester State College"
UA001690,Master,"AGRICULTURAL SCIENCES TEACHERS, POSTSECONDARY","Shanxi Normal University"
UA001691,Master,"COMPUTER SYSTEMS ANALYSTS","Georgetown College"
UA001692,Bachelor,"ENGINEERING TEACHERS, POSTSECONDARY","Osaka University of Economics & Law"
UA001693,Bachelor,"OCCUPATIONAL THERAPISTS","Mankato State University"
UA001694,Doctor,"MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","Manhattan Christian College"
UA001695,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Universidad Bolivariana de Venezuela"
UA001696,Bachelor,STATISTICIANS,"United Business Institute"
UA001697,Master,"MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","University of South Carolina - Union"
UA001698,Master,"EDUCATION TEACHERS, POSTSECONDARY","Misan University"
UA001699,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Southern Polytechnic State Univerisity"
UA001700,Doctor,"INDUSTRIAL ENGINEERS","American University of Iraq, Sulaimani (Kurdistan Region)"
UA001701,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Triton College"
UA001702,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Edgewood College"
UA001703,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","University Malaysia Pahang"
UA001704,Master,"FINANCIAL ANALYSTS","African Virtual University"
UA001705,Master,"COMPUTER SYSTEMS ANALYSTS","Bayan College for Science & Technology"
UA001706,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHERS","Universitat Pompeu Fabra"
UA001707,Bachelor,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS","Universitas Darma Agung"
UA001708,Doctor,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","Northwood University, Florida Campus"
UA001709,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Oregon Institute of Technology"
UA001710,Bachelor,"FINANCIAL MANAGERS","Korea University"
UA001711,Master,"COMPUTER SYSTEMS ANALYSTS","McGill University"
UA001712,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Universität Innsbruck"
UA001713,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","University of Cape Town"
UA001714,Master,"COMPUTER SYSTEMS ANALYSTS","Texas Chiropractic College"
UA001715,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Université de Yaoundé I"
UA001716,Doctor,"COMPUTER SYSTEMS ANALYST","Sebatian Kolowa University College"
UA001717,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Université Paris-Sorbonne (Paris IV)"
UA001718,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Heythrop College, University of London"
UA001719,Master,"ART, DRAMA, AND MUSIC TEACHERS, POSTSECONDARY","Beijing University of Chinese Medicine and Pharmacology"
UA001720,Bachelor,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","Kunstakademie Düsseldorf."
UA001721,Bachelor,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","Institute of Science and Technology"
UA001722,Doctor,"COMPUTER SYSTEMS ANALYSTS","Al-Nasser University"
UA001723,Bachelor,"GENERAL AND OPERATIONS MANAGERS","University of Pitesti"
UA001724,Bachelor,"COMPUTER PROGRAMMERS","Ateneo de Davao University"
UA001725,Master,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","Kosin University"
UA001726,Master,"COMPUTER SYSTEMS ANALYSTS","Islamic Azad University, Lahijan"
UA001727,Master,"COMPUTER SYSTEMS ANALYSTS","Asa University Bangladesh"
UA001728,Doctor,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE","Kawasaki University of Medical Care"
UA001729,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Kyrgyz National Agrarian University"
UA001730,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Arab Academy for Banking and Financial Sciences"
UA001731,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Rovaniemi University of Applied Sciences"
UA001732,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Université de Toamasina"
UA001733,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Universidad Latinoamericana"
UA001734,Bachelor,"SURVEY RESEARCHERS","North Carolina School of the Arts"
UA001735,Bachelor,"FINANCIAL MANAGERS","National University of Management"
UA001736,Doctor,"COMPUTER SYSTEMS ANALYSTS","CMJ University"
UA001737,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Evangelische Fachhochschule Berlin, Fachhochschule für Sozialarbeit und Sozialpädagogik"
UA001738,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Tokai University"
UA001739,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Islamic Azad University, Tabriz"
UA001740,Master,"COMPUTER AND INFORMATION SYSTEMS MANAGERS","Private Hanseuniversität"
UA001741,Doctor,"COMPUTER OCCUPATIONS, ALL OTHER","University of Arkansas at Pine Bluff"
UA001742,Doctor,"COMPUTER OCCUPATIONS, ALL OTHER","National Aerospace University Kharkov Aviation Institute"
UA001743,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Universidad Simón Bolivar"
UA001744,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Kansai Gaidai University"
UA001745,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Doshisha Women's College of Liberal Arts"
UA001746,Master,"DATABASE ADMINISTRATORS","Kentucky Christian College"
UA001747,Bachelor,"MANAGEMENT ANALYSTS","Columbia International University"
UA001748,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Fachhochschule Krems"
UA001749,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Rasmussen College, Wisconsin Campuses"
UA001750,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Université Cheikh Anta Diop"
UA001751,Bachelor,"AGENTS AND BUSINESS MANAGERS OF ARTISTS,","University College of Cape Breton"
UA001752,Master,"COMPUTER AND INFORMATION SYSTEMS MANAGERS","Universidad Autónoma Metropolitana"
UA001753,Bachelor,"COMPLIANCE OFFICERS","Agricultural University of Norway"
UA001754,Master,"MANAGERS, ALL OTHER","University of Hail"
UA001755,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","University of Bacau"
UA001756,Doctor,"COMPUTER SYSTEMS ANALYSTS","Mandhu College"
UA001757,Doctor,"ELECTRICAL ENGINEERS","University of Cagayan Valley"
UA001758,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Johnson County Community College"
UA001759,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Excelsior College"
UA001760,Master,"MATERIALS SCIENTISTS","Ibrahim Babangida University"
UA001761,Bachelor,"DATABASE ADMINISTRATORS","Escuela de Arquitectura y Diseño"
UA001762,Bachelor,"NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Michael Okpara University of Agriculture"
UA001763,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Tomsk State University"
UA001764,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","St. Joseph University Beirut"
UA001765,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Universidad de Valparaiso"
UA001766,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Milwaukee School of Engineering"
UA001767,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Institut Teknologi Brunei"
UA001768,Master,"INFORMATION SECURITY ANALYSTS","Victoria International University"
UA001769,Doctor,"ENGINEERS, ALL OTHER","DIPLOMA-Fachhochschule Ölsnitz/Vogtland"
UA001770,Doctor,"DATABASE ADMINISTRATORS","Mount Allison University"
UA001771,Bachelor,STATISTICIANS,"Union University"
UA001772,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Bryan College"
UA001773,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Oriental University"
UA001774,Master,"ACCOUNTANTS AND AUDITORS","Hogeschool Leiden"
UA001775,Bachelor,"SOCIAL AND COMMUNITY SERVICE MANAGERS","Gokhale Institute of Politics and Economics"
UA001776,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Ecole Supérieure de Commerce de Brest"
UA001777,Doctor,"COMPUTER OCCUPATIONS, ALL OTHER","Aga Khan University"
UA001778,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Universidad Nacional Andrés Bello"
UA001779,Bachelor,"COMPUTER SYSTEMS ANALYSTS","California Institute of Technology"
UA001780,Master,"COMPUTER SYSTEMS ANALYSTS","Saratov State University"
UA001781,Bachelor,"TECHNICAL WRITERS","University of Texas"
UA001782,Master,"INDUSTRIAL-ORGANIZATIONAL PSYCHOLOGISTS","Universidad de la Marina Mercante"
UA001783,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Mustafa International University"
UA001784,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Pukyong National University"
UA001785,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Universidad Autónoma de Querétaro"
UA001786,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Taiyuan University of Technology"
UA001787,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Al-hikmah University"
UA001788,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Southeast Missouri State University"
UA001789,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","North Georgia College"
UA001790,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Takhar University"
UA001791,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Nicolaus Copernicus University of Torun"
UA001792,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Veritas University"
UA001793,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Tongji Medical University"
UA001794,Master,"COMPUTER SYSTEMS ANALYSTS","Albion College"
UA001795,Master,"COMPUTER SYSTEMS ANALYSTS","Technische Fachhochschule Berlin"
UA001796,Master,"COMPUTER AND INFORMATION SYSTEMS MANAGERS","University of the East, Coloocan"
UA001797,Doctor,"COMPUTER SYSTEMS ANALYSTS","Ateneo de Manila University"
UA001798,Doctor,"COMPUTER SYSTEMS ANALYSTS","Odessa National Maritime Academy"
UA001799,Bachelor,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE","Arkansas State University, Mountain Home"
UA001800,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Indian University"
UA001801,Master,"COMPUTER SYSTEMS ANALYSTS","Beloit College"
UA001802,Master,"OPERATIONS RESEARCH ANALYSTS","Emanuel University"
UA001803,Bachelor,"COMPUTER AND INFORMATION SYSTEMS MANAGERS","Otsuma Women's University"
UA001804,Bachelor,"COMPUTER AND INFORMATION SYSTEMS MANAGERS","Kharkiv National University"
UA001805,Doctor,"COMPUTER PROGRAMMERS","Indian Institute of Science"
UA001806,Bachelor,"COMPUTER SYSTEMS ANALYSTS","St. Petersburg Institute of Arts and Restoration"
UA001807,Bachelor,"COMPUTER AND INFORMATION SYSTEMS MANAGERS","Tai Solarin University of Education"
UA001808,Master,"COMPUTER AND INFORMATION SYSTEMS MANAGERS","Addis Ababa Science & Technology University"
UA001809,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","University of Cagayan Valley"
UA001810,Master,"COMPUTER SYSTEMS ANALYSTS","Gulu University"
UA001811,Master,"HUMAN RESOURCES MANAGERS","Fontbonne College"
UA001812,Doctor,"COMPUTER OCCUPATIONS, ALL OTHER","Institut Teknologi Adhi Tama Surabaya"
UA001813,Doctor,SOCIOLOGISTS,"Universidad de Cádiz"
UA001814,Bachelor,STATISTICIANS,"Mohammad Ali Jinnah University, Karachi"
UA001815,Master,"ELECTRICAL ENGINEERS","Institut National Supérieur de Formation Agro-Alimentaire"
UA001816,Master,"COMPUTER SYSTEMS ANALYSTS","Aquinas University"
UA001817,Bachelor,"COMPUTER SYSTEMS ANALYSTS, NON R & D","Loyola College in Maryland"
UA001818,Bachelor,"BIOLOGICAL SCIENTISTS, ALL OTHER","Husson College"
UA001819,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Mehrabyan Medical Institute and Medical College"
UA001820,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Neumann College"
UA001821,Bachelor,"COMPUTER PROGRAMMERS","Universidade Estadual de Londrina"
UA001822,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Pak-AIMS (American Institute of Management Sciences)"
UA001823,Master,LAWYERS,"Universidade Vale do Rio dos Sinos"
UA001824,Master,"COMPUTER PROGRAMMERS","Bidhan Chandra Agricultural University"
UA001825,Doctor,"COMPUTER PROGRAMMERS","Mount Kenya University"
UA001826,Doctor,"BIOCHEMISTS AND BIOPHYSICISTS","Technological University (Meikhtila)"
UA001827,Bachelor,"COMPUTER PROGRAMMERS","Yanbu Industrial College"
UA001828,Bachelor,"BIOLOGICAL SCIENTISTS, ALL OTHER","Universidad Católica de Cuyo"
UA001829,Master,"COMPUTER SYSTEMS ANALYSTS","Minamikyushu University"
UA001830,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Swedish University of Agricultural Sciences"
UA001831,Bachelor,"MARKETING MANAGERS","Sugino Women's College"
UA001832,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Pacific International College"
UA001833,Doctor,"COMPUTER PROGRAMMERS","Institut Supérieur de Gestion de Tunis"
UA001834,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Detroit College of Business"
UA001835,Bachelor,"INDUSTRIAL PRODUCTION MANAGERS","Universidad Central del Valle del Cauca"
UA001836,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Unity  University"
UA001837,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Nanjing Medical University"
UA001838,Master,"PUBLIC RELATIONS AND FUNDRAISING MANAGERS","Universidad Isaac Newton"
UA001839,Master,"NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Tai Solarin University of Education"
UA001840,Doctor,"MARKETING MANAGERS","Cumberland University"
UA001841,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Lulea University of Technology"
UA001842,Bachelor,"COMPUTER AND INFORMATION SYSTEMS MANAGERS","University of the Philippines Mindanao"
UA001843,Master,"DATABASE ADMINISTRATORS","Tri-State University"
UA001844,Master,"OPERATIONS RESEARCH ANALYSTS","Fundación Universitaria Luis Amigó"
UA001845,Bachelor,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS","Meiji College of Pharmacy"
UA001846,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Management and Science University"
UA001847,Master,"OPERATIONS RESEARCH ANALYSTS","Islamic Azad University, Tehran Medical"
UA001848,Master,"MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","Southeast Missouri State University"
UA001849,Doctor,"COMPUTER SYSTEMS ANALYSTS","Universitas Mahendradatta"
UA001850,Doctor,"COMPUTER SYSTEMS ANALYSTS","Bellarmine College"
UA001851,Bachelor,"OPERATIONS RESEARCH ANALYSTS","Zabol University"
UA001852,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Sultan Azlan Shah Polytechnic "
UA001853,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","University of New York in Prague"
UA001854,Master,"POSTSECONDARY TEACHERS, ALL OTHER","Southern Illinois University at Carbondale"
UA001855,Bachelor,"COMPUTER SYSTEMS ANALYSTS","National Pirogov Memorial Medical University"
UA001856,Bachelor,"COMPUTER AND INFORMATION SYSTEMS MANAGERS","Tokyo University of Mercantile Marine"
UA001857,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Elizabeth City State University"
UA001858,Bachelor,"ACCOUNTANTS AND AUDITORS","University “Pavaresia” Vlore"
UA001859,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","State University of New York Empire State College"
UA001860,Master,"MECHANICAL ENGINEERS","Akhbar El Yom Academy"
UA001861,Bachelor,"COMPUTER PROGRAMMERS","Queen Mary and Westfield College, University of London"
UA001862,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","National Fisheries University"
UA001863,Master,"SOFTWARE DEVELOPERS, APPLICATIONS, NON R&D","Shahid Bahonar University of Kerman"
UA001864,Doctor,EDITORS,"Sudan University for Science and Technology"
UA001865,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Universidad Autónoma de Nuevo León"
UA001866,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Fayetteville State University"
UA001867,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Batterjee Medical College"
UA001868,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Universidad Privada de Santa Cruz de la Sierra"
UA001869,Bachelor,"COMPUTER PROGRAMMERS","Alfred Nobel University of Economics and Law "
UA001870,Bachelor,"COMPUTER SYSTEMS ANALYSTS","ITT Technical Institute Fort Wayne"
UA001871,Doctor,"COMPUTER AND INFORMATION SYSTEMS MANAGERS","Universität Fridericana Karlsruhe (Technische Hochschule)"
UA001872,Bachelor,"COMPUTER AND INFORMATION SYSTEMS MANAGERS","Piedmont College"
UA001873,Bachelor,"HUMAN RESOURCES SPECIALISTS","Heritage College"
UA001874,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Shepherd College"
UA001875,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Montana State University"
UA001876,Master,"COMPUTER SYSTEMS ANALYSTS","Miles College"
UA001877,Doctor,"COMPUTER AND INFORMATION SYSTEMS MANAGERS","Janos Selye University"
UA001878,Doctor,"COMPUTER AND INFORMATION SYSTEMS MANAGERS","Magadh University"
UA001879,Bachelor,"COMPUTER PROGRAMMERS","New Jersey Institute of Technology"
UA001880,Bachelor,"MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","Universität Hildesheim"
UA001881,Master,"MANAGEMENT ANALYSTS","Tashkent State University of Economics"
UA001882,Master,"FINANCIAL ANALYSTS","Hanzehogeschool Groningen"
UA001883,Bachelor,"WEB DEVELOPERS","Universidad Nacional del Comahue"
UA001884,Bachelor,"COMPUTER PROGRAMMERS","Reitaku University"
UA001885,Doctor,"COMPUTER PROGRAMMERS","Gustavus Adolphus College"
UA001886,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Fomic Polytechnic"
UA001887,Bachelor,"BIOCHEMISTS AND BIOPHYSICISTS","Beijing International Studies University"
UA001888,Master,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE","Poznan School of Banking"
UA001889,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Academy of Management and Entrepreneurship"
UA001890,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Taejon National University of Technology"
UA001891,Master,"COMPUTER SYSTEMS ANALYSTS","Cleveland State University"
UA001892,Doctor,"COMPUTER OCCUPATIONS, ALL OTHER","Cavendish University"
UA001893,Doctor,"MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","Malmö University College"
UA001894,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Imo State University"
UA001895,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Shenyang Pharmaceutical University"
UA001896,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","University of Limerick"
UA001897,Bachelor,"COMPUTER SCIENCE TEACHERS, POSTSECONDARY","Korea National University of Arts"
UA001898,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Asia Europe University"
UA001899,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Universidad Santa Fe"
UA001900,Bachelor,"INFORMATION SECURITY ANALYSTS","Universidad México Americana del Norte"
UA001901,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Lincoln University San Francisco"
UA001902,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Notre Dame College of Ohio"
UA001903,Master,"FINANCIAL ANALYSTS","East West University"
UA001904,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Austin Community College"
UA001905,Doctor,"COMPUTER OCCUPATIONS, ALL OTHER","Hodges University"
UA001906,Doctor,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE","University of Notre Dame"
UA001907,Bachelor,"COMPUTER SYSTEMS ANALYSTS","University of Technology"
UA001908,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Universidad Autónoma de Las Américas"
UA001909,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Emanuel University"
